#Section 1
0		o	0	
1		yek	ye	1
2		do	doo	too	2
3		se	se'	3	
4		chahar	char	cha	for	4
@		at	@
30		si	si'	30
ok		ok	okey	#start
cd		si'di	cd	#start
copy		kopy	copy	#start
address		aadres	address	#start
power		paawer	power	#start
bye		baay	bye	#wholeword
computer		kaampiyoter	computer	#start
idea		ideh	idea	#start
project		projeh	project	#start
site		sayt	site	#start
free		aazaad	firi	free	#start
email		imeil	email	#start
mail		meil	imeil	mail	#start
technical		teknikal	fanni	technical	#start
page		safhe	peyj	page	#start
ip		aay'pi	ip	#start
type		taayp	type	#start
change		cheng	taqyeer	change	#start
check		chek	check	#start
star		estaar	setareh	star	#start
dialup		dayal'aap	dialup	#start
research		tahqiq	reserch	research	#start
tv		telvizion	ti'vi	tv	#start
good		good	khoob	#start
persian		pershyan	farsi	persian	#start
tool		tool	abzar	#start
toefl		taafel	toefl	#start
memory		memory	hafeze	#start
RAM		RAM	hafeze	#start
CPU		si'pi'yoo	CPU	#start
title		taaytel	onvan	title	#start
contact		kaantakt	contact	#start
dg		dige	dg	#wholeword
january		jaanvye	january	#wholeword
february		fevrye	february	#wholeword
march		maars	march	#wholeword
april		aavril	april	#wholeword
may		meh	may	#wholeword
june		jooan	june	#wholeword
july		joolay	july	#wholeword
august		aagost	august	#wholeword
september	septaambr	september	#wholeword
october		oktobr	october	#wholeword
november		novaambr	november	#wholeword
december		desaambr	december	#wholeword
sms	es'em'es	payamak	sms	#start
ADSL	ey'di'es'el	ADSL	#start
facebook	feysbook	facebook	#start
music	moozik	music	#start
weblog	weblag	weblog	#start
download	danlod	download	#start
online	aanlayn	online	#start
bug	baag	bug	#wholeword
ine	ine	ayne	ayn	#end
ile	ile	ayle	ayl	#end
plz	lotfan	pleez	plz	#wholeword
save	seyv	save	#start
down	daan	#start
khish	khish	khvish
resume	rezumeh	#start
data	data	deyta	#start
end	end	akhar	#start
version	version	verjen	#start
feature	feature	vijegi	#start
http	http	ech'ti'ti'pi	#start
html	html	ech'ti'em'el	#start

#Section 2
1bar	یکبار	#exact
2gholooyim	دوقلویم	#exact
2ke	توکه	#exact
2khtare	دوختر	#exact
2nbalesh	دونبالش	#exact
2nya	دنیا	#exact
2nyaye	دونیای	2نیای	#exact
2roo	دورو	#exact
2rost	درست	#exact
2roste	دورسته	دورست	#exact
2shab	توشب	دوشب	2شب	#exact
2vom	دوم	#exact
2zari	دوزاری	#exact
3ta	سه‌تا	3تا	#exact
3vome	سومه	#exact
3vomi	سومی	#exact
4omi	چهارمی	#exact
4omish	چهارمیش	#exact
4shanbeh	چهارشنبه	#exact
aah	آه	آاه	#exact
aalan	آلان	#exact
aale	آل	آله	#exact
aarezoo	آرزو	#exact
aashegh	عاشق	#exact
aashnaayi	آشنایی	#exact
aavordam	آوردم	#exact
ab	آب	#exact
abad	ابد	آباد	#exact
abam	آبم	#exact
abas	عباس	#exact
abaye	عبای	ابای	#exact
abb	آب	#exact
abbas	عباس	#exact
abbase	عباس	#exact
abd	عبد	#exact
abe	آب	آبه	#exact
abere	عابر	#exact
aberoosh	آبروش	#exact
abesh	آبش	#exact
ablah	ابله	#exact
about	اباوت	درباره‌ی	about	#exact
abr	ابر	#exact
abre	ابر	#exact
absolute	ابسلوت	آبسلوته	مطلق	absolute	#exact
abstract	آبسترکت	خلاصه	abstract	#exact
adab	ادب	آداب	#exact
adabiate	ادبیات	#exact
adam	آدم	عدم	#exact
adama	آدما	#exact
adamae	آدمایی	#exact
adamaye	آدمای	#exact
adame	آدم	آدمه	#exact
adami	آدمی	عدمی	#exact
adamim	آدمیم	#exact
add	ادد	عاد	اضافه	add	#exact
add	اد	اضافه	add	#exact
addam	آدم	ادم	#exact
addi	عادی	#exact
addres	آدرس	address	#exact
address	آدرس	address	#exact
addresse	آدرس	address	#exact
adress	آدرس	address	#exact
adsl	ای.دی.اس.ال	adsl	#exact
aee	آی	ای	#exact
afarin	آفرین	#exact
afaryn	آفرین	#exact
afrazemun	افرازمون	#exact
afsordaro	افسردرو	#exact
afsorde	افسرده	#exact
afsordegi	افسردگی	#exact
afzari	افزاری	#exact
afzoun	افزون	#exact
agar	اگر	#exact
agarche	اگرچه	#exact
age	اگه	#exact
ageh	اگه	#exact
agha	آقا	#exact
aghab	عقب	#exact
aghaee	اقأیی	#exact
aghal	اقل	#exact
aghay	آقای	#exact
aghaye	آقای	#exact
aghayi	آقایی	#exact
aghayun	آقایون	#exact
ahali	اهالی	#exact
ahamiat	اهمیت	#exact
ahamiate	اهمیت	#exact
ahamyate	اهمیت	#exact
ahan	آهان	#exact
ahanag	آهنگ	#exact
ahanagha	آهنگ‌ها	#exact
ahang	آهنگ	#exact
ahange	آهنگ	آهنگه	#exact
ahangesho	آهنگشو	#exact
ahanghai	آهنگ‌هایی	#exact
ahanghaye	آهنگهای	#exact
ahangi	آهنگی	#exact
ahangiro	آهنگیرو	اهنگیرو	#exact
ahango	آهنگو	#exact
ahh	آه	اه	#exact
ahmad	احمد	#exact
ahmaghane	احمقانه	#exact
ahmaghe	احمق	#exact
ahoo	آهو	#exact
ahvale	احوال	#exact
ajab	عجب	#exact
ajale	عجله	#exact
ajib	عجیب	#exact
ajibe	عجیبه	#exact
ajnas	اجناس	#exact
akase	عکاس	#exact
akhar	آخر	#exact
akharam	آخرم	#exact
akhare	آخر	#exact
akharesh	آخرش	#exact
akharesham	آخرشم	#exact
akharesho	آخرشو	#exact
akharim	آخریم	#exact
akhe	آخه	#exact
akhlaghii	اخلاقی	#exact
