صدای	268	UserPOS
خر	27	UserPOS
پدر	639	UserPOS
شاید	987	UserPOS
باد	97	UserPOS
باشه	3690	UserPOS
نه	6183	UserPOS
دست	1192	UserPOS
نگه	448	UserPOS
دارید	480	UserPOS
خواهش	632	UserPOS
می	16317	UserPOS
کنم	4774	UserPOS
اوانز	13	UserPOS
تو	15742	UserPOS
فقط	3089	UserPOS
یه	11474	UserPOS
هفته	370	UserPOS
وقت	1054	UserPOS
داری	2068	UserPOS
وگرنه	95	UserPOS
خونتو	3	UserPOS
خواهیم	164	UserPOS
سوزوند	5	UserPOS
ویلیام	76	UserPOS
لعنتی	975	UserPOS
لعنت	230	UserPOS
به	17267	UserPOS
اونو	1062	UserPOS
بذار	493	UserPOS
زمین	388	UserPOS
برم	615	UserPOS
این	13988	UserPOS
آخرین	352	UserPOS
علوفه	3	UserPOS
ای	2229	UserPOS
بود	4534	UserPOS
که	21178	UserPOS
ما	7768	UserPOS
داشتیم	201	UserPOS
من	22242	UserPOS
خودم	631	UserPOS
کارو	408	UserPOS
انجام	1264	UserPOS
دم	198	UserPOS
نمی	3932	UserPOS
کنی	2897	UserPOS
گله	7	UserPOS
رو	19179	UserPOS
آوردم	92	UserPOS
بیرون	1444	UserPOS
الان	1480	UserPOS
برو	1303	UserPOS
اونجا	1318	UserPOS
تمیز	106	UserPOS
کن	4050	UserPOS
دروغ	225	UserPOS
گفتی	346	UserPOS
دن	73	UserPOS
قرضمونو	1	UserPOS
هلندر	3	UserPOS
پرداخت	80	UserPOS
کردیم	538	UserPOS
خب	947	UserPOS
پس	1617	UserPOS
فکر	3933	UserPOS
چطوری	504	UserPOS
خریدیم	7	UserPOS
سه	576	UserPOS
ماه	337	UserPOS
آب	367	UserPOS
خرج	45	UserPOS
دارو	55	UserPOS
مارک	91	UserPOS
یک	4334	UserPOS
انتخاب	354	UserPOS
بین	477	UserPOS
خانوادم	9	UserPOS
و	15137	UserPOS
قرض	50	UserPOS
اونا	2418	UserPOS
داشتم	625	UserPOS
قرار	472	UserPOS
تصمیماتو	1	UserPOS
با	6734	UserPOS
هم	4339	UserPOS
بگیریم	121	UserPOS
مگه	351	UserPOS
تصمیمه	1	UserPOS
دیگه	2891	UserPOS
میگرفتی	1	UserPOS
آلیس	37	UserPOS
مادوباره	1	UserPOS
تونیم	299	UserPOS
همه	3117	UserPOS
چی	4695	UserPOS
دوباره	770	UserPOS
جمع	229	UserPOS
کنیم	1959	UserPOS
خاکو	1	UserPOS
علف	21	UserPOS
تبدیل	154	UserPOS
جلوی	280	UserPOS
از	13302	UserPOS
فروش	41	UserPOS
زمینمون	2	UserPOS
راه	918	UserPOS
آهن	28	UserPOS
مشکل	350	UserPOS
اینجاست	291	UserPOS
دکترها	16	UserPOS
در	7436	UserPOS
درمانگاه	19	UserPOS
کار	3029	UserPOS
زیادی	438	UserPOS
برای	5179	UserPOS
پای	106	UserPOS
نکردن	47	UserPOS
مستمری	1	UserPOS
پوند	34	UserPOS
میشه	1576	UserPOS
اینجوری	184	UserPOS
نگاه	981	UserPOS
نکن	515	UserPOS
میخوای	645	UserPOS
مارشال	50	UserPOS
بگی	314	UserPOS
اون	12841	UserPOS
آدما	51	UserPOS
چیکار	726	UserPOS
کردن	1103	UserPOS
هیچ	1894	UserPOS
کاری	985	UserPOS
واسمون	3	UserPOS
